category,line_item,amount_myr
Revenue,SALES,905107.53
COGS,PURCHASES,1182958.29
COGS,SUBCON,33894.5
COGS,"FREIGHT, FORWARDING AND CLEARING CHARGES",36605.85
COGS,PACKING & MATERIAL,1227.8
COGS,SST/CUSTOM DUTY,20227.15
Expense,BANK CHARGES,83.92
Expense,DIRECTOR'S OTHER EMOLUMENTS - RAGBEER SI,38934.87
Expense,EPF CONTRIBUTION,2360.59
Expense,HOTEL & ACCOMMODATION,1039.29
Expense,LICENCE FEE,1933.49
Expense,MEDICAL FEE,1401.09
Expense,PENALTY FEE,546.34
Expense,PRINTING AND STATIONERY,58.06
Expense,RENTAL - SHOP,84156.47
Expense,ROAD TAX & INSURANCE,1357.94
Expense,"SALARIES, WAGES AND ALLOWANCES",307824.43
Expense,SECRETARIAL FEE,4788.14
Expense,STAFF REFRESHMENT,5523.13
Expense,STAFF WELFARE,158.59
Expense,TAX FEE,209.08
Expense,"TELEPHONE, FAX & INTERNET",6349.65
Expense,TRANSPORT CHARGES,1225.15
Expense,TRAVELLING EXPENSES,18346.94
Expense,UPKEEP OF MOTOR VEHICLE,585.49
Expense,UPKEEP OF OFFICE AND EQUIPMENT,1155.19
Expense,UPKEEP OF PREMISES,4730.22
Expense,UPKEEP OF SHOP EQUIPMENT,8942.47
Expense,WATER & ELECTRICITY,9591.15
Expense,WEBSITE EXPENSES,2042.35
Expense,UNKNOWN EXPENSES/(INCOME),-1417.15
